net,length_um
_0884_,13.19µm
_0417_,13.18µm
_0312_,13.17µm
net319,13.16µm
net15,13.12µm
net73,13.1µm
_1939_,13.08µm
systolic_unit_0.U_10.acc_0\[14\],13.08µm
_1157_,13.06µm
_1299_,13.06µm
_1593_,13.06µm
systolic_unit_0.U_11.acc_1\[2\],13.04µm
_0541_,13µm
_0803_,13µm
_1568_,13µm
_1643_,13µm
_2049_,12.99µm
_0741_,12.96µm
_1062_,12.96µm
_1280_,12.96µm
_1773_,12.96µm
_0601_,12.94µm
_1973_,12.94µm
_0472_,12.92µm
net302,12.92µm
_1735_,12.885µm
_1021_,12.86µm
_0676_,12.84µm
_0057_,12.82µm
_2009_,12.82µm
_0842_,12.81µm
_0582_,12.78µm
_0539_,12.755µm
_0672_,12.72µm
_1457_,12.72µm
_1713_,12.72µm
_1432_,12.7µm
_0424_,12.68µm
_1141_,12.68µm
_1738_,12.68µm
_0830_,12.66µm
_1626_,12.66µm
_1008_,12.64µm
_1069_,12.64µm
_1226_,12.64µm
systolic_unit_0.U_10.acc_1\[14\],12.62µm
_0758_,12.58µm
net403,12.56µm
_0871_,12.54µm
_1282_,12.54µm
_1583_,12.54µm
_1898_,12.54µm
_0804_,12.5µm
_0992_,12.5µm
_1242_,12.5µm
_1843_,12.5µm
systolic_unit_0.U_01.switch,12.5µm
_0657_,12.48µm
_0971_,12.46µm
_0845_,12.44µm
_0255_,12.42µm
_0667_,12.42µm
_0689_,12.42µm
_1951_,12.42µm
systolic_unit_0.U_11.acc_0\[9\],12.42µm
_1503_,12.36µm
_0166_,12.35µm
_0359_,12.3µm
_1256_,12.28µm
_0613_,12.24µm
_0854_,12.24µm
_1107_,12.24µm
_1105_,12.22µm
_1208_,12.22µm
_1760_,12.22µm
_1953_,12.22µm
_2018_,12.21µm
_0902_,12.2µm
_1236_,12.16µm
_0632_,12.14µm
_1291_,12.14µm
_0837_,12.12µm
_1178_,12.12µm
_1585_,12.12µm
_1709_,12.11µm
_2028_,12.1µm
_1728_,12.08µm
_1873_,12.08µm
_0490_,12.06µm
_1253_,12.06µm
_1886_,12.06µm
_0425_,12.02µm
_1202_,12.02µm
_2039_,12.02µm
_1767_,12µm
_1921_,12µm
systolic_unit_0.U_10.acc_1\[10\],11.98µm
_0362_,11.96µm
_2104_,11.96µm
_1200_,11.94µm
_1284_,11.9µm
systolic_unit_0.U_11.acc_1\[9\],11.9µm
_0462_,11.88µm
_0628_,11.88µm
_1225_,11.88µm
_1637_,11.88µm
_0586_,11.86µm
_1589_,11.84µm
_2115_,11.84µm
net69,11.84µm
_1823_,11.83µm
_2128_,11.82µm
_1456_,11.8µm
net66,11.8µm
_1804_,11.78µm
systolic_unit_0.U_11.acc_0\[12\],11.78µm
_0647_,11.76µm
_1511_,11.76µm
_1648_,11.72µm
D_c_flat[20],11.71µm
_1078_,11.68µm
_1865_,11.68µm
_1447_,11.66µm
_1501_,11.66µm
_0221_,11.63µm
_0627_,11.62µm
_0903_,11.62µm
_0945_,11.62µm
_1163_,11.62µm
_1175_,11.62µm
_1527_,11.62µm
_1574_,11.62µm
net56,11.58µm
net59,11.58µm
_0611_,11.56µm
_1991_,11.56µm
_1233_,11.54µm
_0506_,11.52µm
_0673_,11.52µm
_1044_,11.52µm
_1475_,11.5µm
_2022_,11.46µm
net46,11.46µm
_0093_,11.43µm
_1218_,11.42µm
_1576_,11.42µm
_0343_,11.38µm
_1756_,11.38µm
_0997_,11.34µm
_1925_,11.34µm
_1746_,11.32µm
_2079_,11.32µm
_1409_,11.3µm
_0445_,11.29µm
_0348_,11.28µm
_0557_,11.28µm
_1145_,11.28µm
_0755_,11.26µm
systolic_unit_0.U_10.acc_0\[6\],11.26µm
_0498_,11.24µm
_1181_,11.24µm
_1223_,11.24µm
_1820_,11.24µm
_0724_,11.22µm
_2120_,11.22µm
_1722_,11.2µm
_1244_,11.18µm
_1599_,11.18µm
_1924_,11.18µm
_1842_,11.16µm
_0500_,11.135µm
_1171_,11.13µm
_0862_,11.12µm
_1031_,11.12µm
_1998_,11.12µm
_2087_,11.1µm
D_a_00[5],11.07µm
_1313_,11.06µm
_1935_,11.06µm
_0870_,11.04µm
_1278_,11.04µm
_0631_,11.03µm
_1875_,11.02µm
_0444_,11µm
_0708_,10.98µm
_1515_,10.98µm
_1693_,10.97µm
_1946_,10.96µm
_1209_,10.94µm
net62,10.92µm
net431,10.92µm
_1549_,10.9µm
_1888_,10.9µm
net327,10.9µm
_1113_,10.88µm
_2080_,10.88µm
_0523_,10.86µm
_0690_,10.86µm
_0443_,10.84µm
_1559_,10.84µm
_1696_,10.84µm
_0426_,10.82µm
_0522_,10.82µm
_1281_,10.82µm
_1341_,10.82µm
_1769_,10.82µm
_0074_,10.81µm
_0888_,10.8µm
systolic_unit_0.U_00.acc_1\[14\],10.78µm
net60,10.78µm
net387,10.78µm
net389,10.78µm
_2109_,10.74µm
_2119_,10.74µm
net1,10.74µm
_0505_,10.735µm
_0623_,10.72µm
_1149_,10.72µm
_1148_,10.705µm
_0422_,10.7µm
_0496_,10.7µm
_1466_,10.7µm
_1806_,10.7µm
_1521_,10.68µm
_0892_,10.66µm
_1036_,10.66µm
_1639_,10.66µm
_1793_,10.66µm
_2025_,10.66µm
_2082_,10.66µm
_0760_,10.64µm
_1123_,10.64µm
_1514_,10.64µm
_0600_,10.625µm
_0311_,10.62µm
_1429_,10.62µm
_2086_,10.62µm
_2089_,10.62µm
_2126_,10.62µm
net300,10.62µm
_1271_,10.58µm
_1980_,10.54µm
_1587_,10.53µm
_1687_,10.52µm
_1506_,10.5µm
_1918_,10.5µm
_0691_,10.46µm
_1597_,10.44µm
net19,10.44µm
_0869_,10.42µm
_0929_,10.42µm
_1335_,10.4µm
net388,10.4µm
_0435_,10.38µm
_1061_,10.38µm
_1538_,10.38µm
_0873_,10.36µm
_1210_,10.36µm
_1353_,10.36µm
_1410_,10.36µm
_1613_,10.36µm
_0589_,10.34µm
_1434_,10.34µm
_1554_,10.34µm
_1835_,10.34µm
D_b_01[1],10.32µm
D_b_01[3],10.32µm
D_b_01[5],10.32µm
D_b_01[7],10.32µm
_1048_,10.32µm
_1297_,10.32µm
_1880_,10.32µm
_0807_,10.3µm
_0934_,10.3µm
_1978_,10.3µm
_1663_,10.26µm
_0508_,10.24µm
_0777_,10.24µm
_1288_,10.24µm
_1961_,10.24µm
_1132_,10.22µm
_0283_,10.2µm
_1338_,10.2µm
_1981_,10.2µm
net373,10.2µm
_0824_,10.18µm
_1497_,10.18µm
_0855_,10.16µm
_0996_,10.16µm
_1111_,10.16µm
_1168_,10.14µm
_1422_,10.14µm
_1989_,10.14µm
net72,10.12µm
net424,10.12µm
_1431_,10.115µm
_1920_,10.115µm
_1038_,10.1µm
_1736_,10.08µm
_1188_,10.06µm
_1942_,10.06µm
_0709_,10.04µm
_0923_,10.04µm
net67,10.04µm
systolic_unit_0.U_00.out_b\[0\],10µm
_0083_,9.99µm
_0127_,9.99µm
_2118_,9.98µm
_0484_,9.96µm
_0878_,9.96µm
_1279_,9.96µm
_1324_,9.96µm
_1548_,9.96µm
_0105_,9.94µm
_0358_,9.94µm
_1301_,9.94µm
_1958_,9.92µm
_0910_,9.9µm
_1610_,9.9µm
_1421_,9.86µm
_1508_,9.86µm
net53,9.86µm
_0524_,9.84µm
_0814_,9.84µm
D_c_flat[12],9.83µm
_1947_,9.82µm
_2123_,9.82µm
_1657_,9.8µm
_1952_,9.8µm
_1556_,9.78µm
_2068_,9.78µm
_1670_,9.76µm
_0994_,9.74µm
_2125_,9.74µm
net421,9.74µm
_0546_,9.7µm
_0820_,9.7µm
_1458_,9.7µm
_1513_,9.7µm
_1619_,9.7µm
D_c_flat[19],9.67µm
_0666_,9.66µm
_0725_,9.66µm
net310,9.66µm
net311,9.66µm
D_a_10[1],9.64µm
D_a_10[3],9.64µm
D_a_10[4],9.64µm
D_a_10[5],9.64µm
D_a_10[6],9.64µm
D_c_flat[15],9.64µm
num_matrix[0],9.64µm
num_matrix[1],9.64µm
net408,9.64µm
_0930_,9.625µm
_1006_,9.62µm
_1302_,9.62µm
_1426_,9.62µm
_1645_,9.62µm
_0797_,9.58µm
_1192_,9.58µm
_1393_,9.58µm
_0201_,9.56µm
_0489_,9.56µm
net399,9.56µm
_0454_,9.54µm
_0089_,9.52µm
_0375_,9.52µm
_1246_,9.52µm
_0521_,9.5µm
_0901_,9.5µm
_1323_,9.5µm
_2050_,9.5µm
_2122_,9.5µm
_0630_,9.48µm
_1460_,9.48µm
_1526_,9.48µm
_1692_,9.48µm
_1749_,9.48µm
systolic_unit_0.U_10.acc_0\[12\],9.48µm
systolic_unit_0.U_10.acc_1\[6\],9.48µm
_0048_,9.47µm
_0822_,9.46µm
_0662_,9.44µm
_1962_,9.44µm
_2026_,9.44µm
D_a_00[7],9.4µm
D_b_01[0],9.4µm
D_b_01[2],9.4µm
D_b_01[4],9.4µm
D_b_01[6],9.4µm
_1034_,9.4µm
_0786_,9.38µm
D_a_00[0],9.37µm
_1436_,9.36µm
_0547_,9.34µm
_1741_,9.34µm
_0551_,9.32µm
systolic_unit_0.U_00.acc_0\[6\],9.32µm
net54,9.32µm
_2017_,9.3µm
_0839_,9.28µm
_1041_,9.28µm
_1754_,9.28µm
_0569_,9.26µm
_1165_,9.26µm
_2046_,9.26µm
_2040_,9.255µm
_1636_,9.24µm
_1193_,9.2µm
_1863_,9.2µm
net30,9.2µm
D_c_flat[18],9.18µm
D_c_flat[21],9.18µm
_2098_,9.18µm
_0789_,9.16µm
_0936_,9.16µm
_1596_,9.16µm
_2044_,9.16µm
drain_odd_d1,9.14µm
_0765_,9.125µm
_0431_,9.12µm
_1128_,9.12µm
_1228_,9.12µm
_1240_,9.12µm
_2005_,9.12µm
systolic_unit_0.U_11.acc_0\[4\],9.12µm
_0116_,9.11µm
net58,9.08µm
net49,9.06µm
net369,9.06µm
D_a_00[4],9.05µm
_0638_,9.04µm
_2083_,9.04µm
_0128_,9.03µm
_0341_,9.02µm
_1103_,9.02µm
_1201_,9.02µm
net386,9.02µm
_1694_,9µm
_1318_,8.98µm
_1459_,8.98µm
net57,8.98µm
D_c_flat[1],8.96µm
D_c_flat[3],8.96µm
D_c_flat[5],8.96µm
_0697_,8.96µm
systolic_busy,8.96µm
_0865_,8.94µm
_1777_,8.94µm
_1799_,8.94µm
_1982_,8.94µm
_0644_,8.92µm
_0833_,8.92µm
_1067_,8.92µm
_1073_,8.92µm
_1987_,8.92µm
_0261_,8.905µm
_0893_,8.9µm
_1189_,8.9µm
_1229_,8.9µm
_1444_,8.9µm
_0216_,8.87µm
_0545_,8.87µm
_1000_,8.86µm
_1283_,8.86µm
_1412_,8.86µm
_1638_,8.86µm
net340,8.86µm
_0816_,8.82µm
_1294_,8.82µm
_1849_,8.82µm
_1917_,8.82µm
net356,8.82µm
net377,8.82µm
_0525_,8.8µm
_0983_,8.8µm
_1983_,8.8µm
_0529_,8.78µm
_1039_,8.78µm
_1427_,8.78µm
net406,8.78µm
_0082_,8.77µm
_0989_,8.76µm
_0872_,8.74µm
_1566_,8.74µm
systolic_unit_0.out_acc_1_r1\[13\],8.74µm
D_a_10[0],8.72µm
D_a_10[2],8.72µm
_1187_,8.72µm
_1471_,8.72µm
_2078_,8.72µm
a_ready,8.72µm
b_ready,8.72µm
num_matrix[2],8.72µm
_0991_,8.7µm
_1126_,8.7µm
_1310_,8.7µm
_1988_,8.7µm
_0570_,8.68µm
_0692_,8.66µm
_1014_,8.66µm
_1255_,8.66µm
_1414_,8.66µm
_1586_,8.66µm
_0094_,8.65µm
_0357_,8.64µm
_0798_,8.62µm
_1557_,8.62µm
_0427_,8.6µm
_1195_,8.6µm
_1794_,8.6µm
_1053_,8.58µm
_1984_,8.58µm
_0649_,8.56µm
_1227_,8.56µm
_1708_,8.56µm
_1957_,8.56µm
_0568_,8.54µm
_1260_,8.54µm
_1624_,8.54µm
_1992_,8.54µm
D_c_flat[30],8.53µm
_0077_,8.51µm
D_c_flat[0],8.5µm
D_c_flat[2],8.5µm
D_c_flat[4],8.5µm
_0278_,8.5µm
_1691_,8.5µm
systolic_free,8.5µm
_0883_,8.485µm
net41,8.48µm
_0439_,8.47µm
_0732_,8.46µm
_0906_,8.46µm
_0004_,8.44µm
_0685_,8.44µm
_0813_,8.44µm
_1124_,8.44µm
_1449_,8.44µm
_1742_,8.44µm
_1997_,8.44µm
_2077_,8.44µm
net413,8.44µm
_0555_,8.42µm
_0988_,8.42µm
_1817_,8.42µm
_0114_,8.41µm
_0502_,8.4µm
_0999_,8.4µm
_1646_,8.4µm
_0924_,8.365µm
_1050_,8.36µm
_1689_,8.36µm
_0510_,8.34µm
_1059_,8.34µm
_1091_,8.34µm
_1129_,8.34µm
_0718_,8.32µm
_0920_,8.32µm
_1231_,8.32µm
_1285_,8.32µm
_0112_,8.29µm
_0011_,8.28µm
_0198_,8.28µm
_0339_,8.26µm
_1286_,8.26µm
_1056_,8.245µm
_0537_,8.24µm
_0889_,8.24µm
_1068_,8.24µm
_1488_,8.24µm
_1734_,8.24µm
_1183_,8.23µm
_1690_,8.22µm
_1662_,8.2µm
_1702_,8.2µm
net342,8.2µm
net381,8.2µm
_0314_,8.18µm
_0325_,8.18µm
_0337_,8.18µm
_1623_,8.18µm
_0320_,8.16µm
_1450_,8.16µm
_0217_,8.13µm
_0897_,8.12µm
_1133_,8.12µm
_2054_,8.12µm
_1162_,8.1µm
_1507_,8.1µm
_2008_,8.1µm
_0233_,8.08µm
_0922_,8.08µm
_1054_,8.06µm
_1057_,8.06µm
_1796_,8.06µm
net11,8.06µm
D_c_flat[17],8.03µm
_0031_,8.03µm
_0405_,8.02µm
_0790_,8.02µm
_0911_,8.02µm
_1016_,8µm
_1120_,8µm
_1319_,8µm
_1968_,8µm
_0481_,7.98µm
_0748_,7.98µm
_1211_,7.98µm
_1300_,7.98µm
_2130_,7.98µm
_0006_,7.94µm
_1276_,7.94µm
_1340_,7.94µm
_0193_,7.9µm
_0492_,7.9µm
_0993_,7.9µm
_1160_,7.9µm
_1681_,7.9µm
_2067_,7.9µm
_2094_,7.9µm
_1994_,7.88µm
_0778_,7.865µm
_0323_,7.86µm
_1098_,7.86µm
_0015_,7.83µm
_0129_,7.83µm
net63,7.82µm
net299,7.82µm
_0605_,7.8µm
_0464_,7.78µm
_0660_,7.78µm
_1505_,7.78µm
_1771_,7.78µm
_1861_,7.78µm
net305,7.78µm
net35,7.76µm
_0460_,7.74µm
_1993_,7.74µm
_0340_,7.72µm
_1104_,7.72µm
_2004_,7.72µm
_0245_,7.7µm
_1711_,7.7µm
_1959_,7.7µm
_2045_,7.7µm
_0467_,7.68µm
_0787_,7.68µm
_1602_,7.68µm
_1718_,7.68µm
_2056_,7.68µm
_1856_,7.665µm
_2055_,7.665µm
_0618_,7.66µm
_0699_,7.66µm
_0750_,7.66µm
_0811_,7.66µm
_0938_,7.66µm
_1442_,7.66µm
_2041_,7.66µm
_1635_,7.64µm
_0037_,7.63µm
_0931_,7.62µm
_1672_,7.6µm
net42,7.6µm
D_c_flat[10],7.59µm
net379,7.58µm
_0209_,7.56µm
_0483_,7.56µm
_1029_,7.56µm
_1531_,7.56µm
_1682_,7.56µm
systolic_unit_0.U_01.in_b\[1\],7.56µm
systolic_unit_0.out_acc_0_r1\[8\],7.56µm
net426,7.56µm
_2023_,7.54µm
_2114_,7.54µm
_1915_,7.535µm
_0109_,7.52µm
_0447_,7.52µm
_0646_,7.52µm
_0981_,7.52µm
_1116_,7.52µm
_1197_,7.52µm
_1272_,7.52µm
_1544_,7.52µm
_1348_,7.48µm
_1015_,7.44µm
_1562_,7.44µm
_1854_,7.44µm
net303,7.42µm
_0850_,7.4µm
_1969_,7.39µm
_0317_,7.38µm
net370,7.36µm
net427,7.36µm
D_b_00[6],7.35µm
_0115_,7.33µm
_0449_,7.33µm
_0969_,7.32µm
_0494_,7.31µm
_0240_,7.3µm
_0915_,7.3µm
net10,7.3µm
net338,7.3µm
_0072_,7.29µm
_0543_,7.29µm
_2007_,7.28µm
_2075_,7.26µm
_0491_,7.24µm
_0861_,7.24µm
_2014_,7.24µm
net398,7.24µm
_0390_,7.22µm
_0735_,7.22µm
_0917_,7.22µm
_1238_,7.22µm
net375,7.22µm
_0530_,7.2µm
_0762_,7.2µm
_0779_,7.2µm
_1289_,7.2µm
_0487_,7.18µm
_1499_,7.18µm
net70,7.18µm
net296,7.18µm
_1365_,7.14µm
_0619_,7.12µm
_0887_,7.12µm
_0896_,7.12µm
_1249_,7.12µm
_1003_,7.1µm
_1369_,7.1µm
_1415_,7.1µm
net397,7.1µm
_1013_,7.08µm
_1085_,7.08µm
_0652_,7.06µm
_0823_,7.06µm
_0899_,7.06µm
_1494_,7.06µm
_1536_,7.06µm
_1727_,7.06µm
systolic_unit_0.out_acc_0_r1\[11\],7.06µm
D_a_00[3],7.03µm
systolic_unit_0.out_acc_1_r1\[8\],7µm
net332,7µm
D_a_10[7],6.99µm
_0001_,6.99µm
_1018_,6.99µm
_0694_,6.98µm
_0713_,6.98µm
_1083_,6.98µm
_1114_,6.98µm
_1151_,6.98µm
_1275_,6.98µm
_1316_,6.98µm
_1495_,6.98µm
_1665_,6.98µm
_0470_,6.96µm
_1490_,6.96µm
_1667_,6.96µm
systolic_unit_0.out_acc_1_r1\[5\],6.96µm
_0211_,6.94µm
_0292_,6.94µm
_1314_,6.93µm
_0914_,6.88µm
net430,6.88µm
_0599_,6.86µm
_0841_,6.86µm
_1304_,6.86µm
_1528_,6.86µm
_0544_,6.85µm
_0338_,6.84µm
_0726_,6.84µm
_1020_,6.84µm
_1525_,6.84µm
net31,6.84µm
_0939_,6.82µm
_1677_,6.82µm
_0038_,6.8µm
_1367_,6.8µm
_0688_,6.78µm
_0810_,6.78µm
_1185_,6.78µm
_1305_,6.78µm
net385,6.78µm
_0401_,6.76µm
_0738_,6.76µm
_1198_,6.76µm
_1621_,6.76µm
_0173_,6.75µm
_0751_,6.74µm
_1125_,6.74µm
_1418_,6.74µm
_1551_,6.74µm
_1944_,6.74µm
_0486_,6.72µm
_0957_,6.72µm
_1035_,6.72µm
_1452_,6.72µm
_1649_,6.72µm
net401,6.72µm
_1307_,6.68µm
_0982_,6.66µm
_1269_,6.66µm
D_b_00[5],6.65µm
_0414_,6.64µm
_0514_,6.64µm
_0520_,6.64µm
_1354_,6.64µm
_1361_,6.64µm
_1967_,6.64µm
net87,6.64µm
_0717_,6.62µm
_0773_,6.62µm
_0800_,6.6µm
_1167_,6.6µm
_1250_,6.6µm
_1577_,6.6µm
_1678_,6.6µm
_2001_,6.6µm
D_c_flat[29],6.55µm
_2096_,6.55µm
_0272_,6.54µm
_1377_,6.54µm
net417,6.54µm
net363,6.525µm
_0118_,6.52µm
_0809_,6.52µm
_0867_,6.52µm
_1747_,6.52µm
_1974_,6.52µm
_2052_,6.52µm
_0677_,6.48µm
_0678_,6.48µm
_0864_,6.48µm
net339,6.46µm
_1489_,6.44µm
systolic_unit_0.out_acc_0_r1\[6\],6.44µm
_0349_,6.42µm
_0397_,6.42µm
_0858_,6.42µm
net307,6.42µm
_0295_,6.4µm
_1127_,6.4µm
_1744_,6.4µm
net68,6.4µm
_0288_,6.38µm
_0051_,6.37µm
_0104_,6.37µm
_0163_,6.37µm
_1620_,6.33µm
_0596_,6.32µm
_0815_,6.32µm
_1019_,6.32µm
_1990_,6.32µm
D_b_00[1],6.31µm
D_b_00[2],6.31µm
D_b_00[4],6.31µm
_0206_,6.31µm
_0363_,6.3µm
_1477_,6.3µm
systolic_unit_0.out_acc_1_r1\[1\],6.3µm
_0549_,6.28µm
_0701_,6.28µm
_1093_,6.28µm
_1608_,6.28µm
_2121_,6.28µm
_1055_,6.26µm
_1066_,6.26µm
_1779_,6.26µm
_1786_,6.26µm
_1837_,6.26µm
D_c_flat[11],6.23µm
_1220_,6.2µm
_1916_,6.2µm
_0480_,6.18µm
_0703_,6.18µm
_1064_,6.18µm
_1080_,6.18µm
_1180_,6.18µm
_1343_,6.18µm
_1668_,6.18µm
_1814_,6.18µm
_1977_,6.18µm
net360,6.18µm
_1032_,6.145µm
_0535_,6.14µm
_1108_,6.14µm
_1122_,6.14µm
_1257_,6.14µm
_1567_,6.14µm
_1573_,6.14µm
_1948_,6.14µm
net341,6.14µm
net358,6.14µm
_0030_,6.09µm
_0987_,6.065µm
_1245_,6.06µm
_1851_,6.06µm
_1941_,6.06µm
_0420_,6.04µm
_0634_,6.04µm
_1186_,6.035µm
_0863_,6.02µm
_1571_,6.02µm
_0332_,6.005µm
_0096_,5.99µm
_0276_,5.96µm
net350,5.96µm
_0140_,5.94µm
_0654_,5.94µm
_1010_,5.94µm
_1478_,5.94µm
_1765_,5.94µm
_2127_,5.94µm
_0249_,5.92µm
_2020_,5.92µm
_2060_,5.92µm
net28,5.92µm
_0056_,5.91µm
_0223_,5.91µm
net368,5.9µm
_1669_,5.87µm
_0220_,5.85µm
_0585_,5.84µm
_1384_,5.84µm
_1455_,5.84µm
_1844_,5.84µm
net298,5.84µm
_0509_,5.82µm
_0799_,5.82µm
_1026_,5.82µm
_1170_,5.82µm
_1251_,5.82µm
_1905_,5.82µm
_0749_,5.8µm
_0876_,5.8µm
_1154_,5.8µm
_1364_,5.8µm
_1463_,5.8µm
_1699_,5.8µm
_1895_,5.8µm
_1927_,5.8µm
D_c_flat[8],5.75µm
_0451_,5.74µm
_0866_,5.74µm
_0419_,5.72µm
_0434_,5.72µm
_0625_,5.72µm
_0784_,5.72µm
_0907_,5.72µm
_1022_,5.72µm
_1407_,5.72µm
_1425_,5.72µm
_1546_,5.72µm
_0253_,5.7µm
_0752_,5.7µm
_2072_,5.7µm
_0764_,5.68µm
_1561_,5.68µm
_1908_,5.68µm
_0851_,5.65µm
D_b_00[0],5.63µm
_0161_,5.61µm
_0418_,5.6µm
_0796_,5.6µm
_0927_,5.6µm
_1027_,5.6µm
_0080_,5.58µm
_1371_,5.58µm
_0041_,5.56µm
_0366_,5.56µm
_0829_,5.56µm
_1642_,5.56µm
_1595_,5.54µm
_1664_,5.52µm
net357,5.52µm
_0413_,5.5µm
_0416_,5.5µm
_1037_,5.5µm
_1807_,5.5µm
_1825_,5.5µm
_1857_,5.5µm
_1890_,5.5µm
_0194_,5.49µm
_0303_,5.48µm
_0880_,5.48µm
_1184_,5.48µm
_0252_,5.46µm
_0298_,5.46µm
_0315_,5.46µm
_0379_,5.46µm
_0219_,5.43µm
D_c_flat[13],5.41µm
_1537_,5.41µm
_1011_,5.4µm
_2112_,5.4µm
_0328_,5.38µm
_0399_,5.38µm
_0485_,5.38µm
_0919_,5.38µm
_1147_,5.38µm
_1164_,5.38µm
_1492_,5.38µm
_1829_,5.38µm
_1834_,5.38µm
_1860_,5.38µm
net306,5.38µm
_0734_,5.36µm
_1134_,5.36µm
_1487_,5.36µm
systolic_unit_0.U_00.acc_1\[0\],5.36µm
_0371_,5.34µm
_0954_,5.34µm
_1065_,5.34µm
_1213_,5.34µm
_1420_,5.34µm
_1519_,5.34µm
_1579_,5.34µm
_1655_,5.34µm
_1809_,5.34µm
_0042_,5.33µm
_0092_,5.33µm
D_c_flat[31],5.31µm
_0264_,5.305µm
D_b_00[7],5.29µm
_0059_,5.29µm
rst,5.29µm
_0459_,5.28µm
_0995_,5.28µm
_1469_,5.28µm
_1563_,5.28µm
_1945_,5.28µm
_1327_,5.27µm
_0152_,5.26µm
_0232_,5.26µm
_0895_,5.26µm
_1758_,5.26µm
systolic_unit_0.U_01.in_b\[2\],5.26µm
systolic_unit_0.U_10.acc_0\[8\],5.26µm
net352,5.26µm
net384,5.26µm
net412,5.26µm
_1063_,5.24µm
_1345_,5.24µm
_1523_,5.24µm
_1928_,5.24µm
_0029_,5.22µm
_0113_,5.22µm
_0141_,5.22µm
_0753_,5.22µm
_0925_,5.22µm
_1094_,5.22µm
_1234_,5.22µm
_1413_,5.22µm
D_c_flat[27],5.19µm
_0235_,5.17µm
_0262_,5.16µm
net353,5.16µm
_0402_,5.14µm
_1971_,5.14µm
_0061_,5.1µm
_0135_,5.1µm
_0208_,5.1µm
_0885_,5.1µm
_1100_,5.1µm
D_c_flat[14],5.07µm
D_c_flat[7],5.07µm
D_c_flat[9],5.07µm
_0099_,5.07µm
_0215_,5.07µm
_0321_,5.06µm
_1887_,5.06µm
_0241_,5.04µm
_0259_,5.04µm
_0404_,5.04µm
net382,5.04µm
_1087_,5.03µm
_0469_,5.02µm
_0729_,5.02µm
_1205_,5.02µm
_1392_,5.02µm
_1498_,5.02µm
_1590_,5.02µm
_1685_,5.02µm
_2116_,5.02µm
_0073_,5µm
net13,5µm
_0136_,4.99µm
D_a_00[2],4.95µm
D_a_00[6],4.95µm
D_b_00[3],4.95µm
_0356_,4.94µm
_0604_,4.94µm
_0788_,4.94µm
_1088_,4.94µm
_2097_,4.94µm
net372,4.94µm
_0812_,4.925µm
_0021_,4.92µm
_0979_,4.92µm
_1417_,4.92µm
_1755_,4.92µm
_1802_,4.92µm
net51,4.92µm
_0428_,4.9µm
_0712_,4.9µm
_1684_,4.9µm
_2063_,4.9µm
_2090_,4.9µm
_0256_,4.88µm
_0648_,4.88µm
_0747_,4.88µm
_0795_,4.88µm
_1295_,4.88µm
systolic_unit_0.U_00.acc_1\[12\],4.88µm
net17,4.88µm
net301,4.88µm
net418,4.88µm
_0182_,4.87µm
_0188_,4.87µm
_0242_,4.87µm
D_c_flat[16],4.85µm
D_c_flat[28],4.85µm
_0196_,4.85µm
_0909_,4.85µm
_0609_,4.82µm
_0636_,4.82µm
_1565_,4.82µm
net2,4.82µm
_0025_,4.8µm
_0316_,4.8µm
_0336_,4.8µm
_0504_,4.8µm
_0526_,4.8µm
_0558_,4.8µm
_0835_,4.8µm
_0838_,4.8µm
_1012_,4.8µm
_1025_,4.8µm
_1378_,4.8µm
_1399_,4.8µm
_1416_,4.8µm
_1481_,4.8µm
_1726_,4.8µm
_2042_,4.8µm
_2047_,4.8µm
net371,4.8µm
_0740_,4.775µm
_0131_,4.76µm
_0828_,4.76µm
_0836_,4.76µm
_0958_,4.76µm
_1654_,4.76µm
net23,4.76µm
net330,4.76µm
net335,4.76µm
_0723_,4.7µm
_1907_,4.7µm
_1937_,4.7µm
net347,4.7µm
net405,4.7µm
_0682_,4.68µm
_2117_,4.68µm
_0265_,4.625µm
D_a_00[1],4.61µm
_0183_,4.61µm
_0184_,4.61µm
_0279_,4.6µm
_0258_,4.58µm
_0300_,4.58µm
_0329_,4.58µm
_0536_,4.58µm
_1363_,4.58µm
net400,4.58µm
_0017_,4.56µm
_0319_,4.56µm
_0622_,4.56µm
_1479_,4.56µm
_1520_,4.56µm
_1522_,4.56µm
_1859_,4.56µm
_0125_,4.54µm
_0132_,4.54µm
_0222_,4.54µm
_0598_,4.54µm
_0655_,4.54µm
_1558_,4.54µm
net9,4.54µm
net16,4.54µm
net32,4.54µm
_1480_,4.48µm
_1581_,4.48µm
_2016_,4.48µm
_2061_,4.48µm
net407,4.48µm
_0333_,4.46µm
_0369_,4.46µm
_0389_,4.46µm
_0476_,4.46µm
_0533_,4.46µm
_0548_,4.46µm
_0950_,4.46µm
_1002_,4.46µm
_1046_,4.46µm
_1440_,4.46µm
_1465_,4.46µm
_1541_,4.46µm
_1985_,4.46µm
_2031_,4.46µm
systolic_unit_0.U_01.acc_1\[11\],4.46µm
net420,4.46µm
_1972_,4.45µm
_0916_,4.44µm
_1724_,4.44µm
_2010_,4.44µm
_0022_,4.42µm
_0308_,4.42µm
_0313_,4.42µm
_0342_,4.42µm
_0370_,4.42µm
_0730_,4.42µm
_1778_,4.42µm
_1824_,4.42µm
net47,4.42µm
net324,4.42µm
D_c_flat[6],4.39µm
_0143_,4.39µm
_0455_,4.36µm
