Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_92_258,VPWR,li1,126.9600,263.8400,1.799973
FILLER_92_253,VPWR,li1,122.3600,263.8400,1.799973
FILLER_92_251,VPWR,li1,121.2100,263.8400,1.799974
FILLER_92_245,VPWR,li1,119.6000,263.8400,1.799974
FILLER_92_233,VPWR,li1,115.4600,263.8400,1.799975
FILLER_92_221,VPWR,li1,109.9400,263.8400,1.799976
FILLER_92_209,VPWR,li1,104.4200,263.8400,1.799977
FILLER_92_197,VPWR,li1,98.9000,263.8400,1.799978
FILLER_92_195,VPWR,li1,95.4500,263.8400,1.799979
FILLER_92_189,VPWR,li1,93.8400,263.8400,1.799979
FILLER_92_177,VPWR,li1,89.7000,263.8400,1.799980
FILLER_92_165,VPWR,li1,84.1800,263.8400,1.799982
FILLER_92_153,VPWR,li1,78.6600,263.8400,1.799983
FILLER_92_141,VPWR,li1,73.1400,263.8400,1.799984
FILLER_92_139,VPWR,li1,69.6900,263.8400,1.799986
FILLER_92_133,VPWR,li1,68.0800,263.8400,1.799986
FILLER_92_121,VPWR,li1,63.9400,263.8400,1.799987
FILLER_92_109,VPWR,li1,58.4200,263.8400,1.799988
FILLER_92_97,VPWR,li1,52.9000,263.8400,1.799990
FILLER_92_85,VPWR,li1,47.3800,263.8400,1.799991
FILLER_92_83,VPWR,li1,43.9300,263.8400,1.799992
FILLER_92_77,VPWR,li1,42.3200,263.8400,1.799992
FILLER_92_65,VPWR,li1,38.1800,263.8400,1.799993
FILLER_92_53,VPWR,li1,32.6600,263.8400,1.799995
FILLER_92_41,VPWR,li1,27.1400,263.8400,1.799996
FILLER_92_29,VPWR,li1,21.6200,263.8400,1.799997
FILLER_92_27,VPWR,li1,18.1700,263.8400,1.799997
FILLER_92_15,VPWR,li1,15.1800,263.8400,1.799997
FILLER_92_3,VPWR,li1,9.6600,263.8400,1.799997
FILLER_91_553,VPWR,li1,260.1300,258.4000,1.799933
FILLER_91_541,VPWR,li1,257.1400,258.4000,1.799933
FILLER_91_529,VPWR,li1,251.6200,258.4000,1.799933
FILLER_91_517,VPWR,li1,246.1000,258.4000,1.799933
FILLER_91_505,VPWR,li1,240.5800,258.4000,1.799933
FILLER_91_503,VPWR,li1,237.1300,258.4000,1.799933
FILLER_91_497,VPWR,li1,235.5200,258.4000,1.799933
FILLER_91_485,VPWR,li1,231.3800,258.4000,1.799933
FILLER_91_473,VPWR,li1,225.8600,258.4000,1.799933
FILLER_91_461,VPWR,li1,220.3400,258.4000,1.799933
FILLER_91_449,VPWR,li1,214.8200,258.4000,1.799933
FILLER_91_445,VPWR,li1,210.9100,258.4000,1.799933
FILLER_91_437,VPWR,li1,208.3800,258.4000,1.799933
FILLER_91_425,VPWR,li1,203.7800,258.4000,1.799933
FILLER_91_413,VPWR,li1,195.7300,258.4000,1.799934
FILLER_91_391,VPWR,li1,185.6100,258.4000,1.799937
FILLER_91_385,VPWR,li1,184.0000,258.4000,1.799937
FILLER_91_364,VPWR,li1,173.1900,258.4000,1.799926
FILLER_91_328,VPWR,li1,158.2400,258.4000,1.799877
FILLER_91_305,VPWR,li1,146.5100,258.4000,1.799860
FILLER_91_293,VPWR,li1,143.0600,258.4000,1.799857
FILLER_91_281,VPWR,li1,137.5400,258.4000,1.799853
FILLER_91_278,VPWR,li1,133.8600,258.4000,1.799850
FILLER_91_270,VPWR,li1,131.5600,258.4000,1.799849
FILLER_91_225,VPWR,li1,109.4800,258.4000,1.799862
FILLER_91_223,VPWR,li1,108.3300,258.4000,1.799865
FILLER_91_217,VPWR,li1,106.7200,258.4000,1.799865
FILLER_91_205,VPWR,li1,102.5800,258.4000,1.799871
FILLER_91_193,VPWR,li1,97.0600,258.4000,1.799880
FILLER_91_181,VPWR,li1,91.5400,258.4000,1.799886
FILLER_91_169,VPWR,li1,86.0200,258.4000,1.799894
FILLER_91_167,VPWR,li1,82.5700,258.4000,1.799901
FILLER_91_161,VPWR,li1,80.9600,258.4000,1.799901
FILLER_91_149,VPWR,li1,76.8200,258.4000,1.799907
FILLER_91_137,VPWR,li1,71.3000,258.4000,1.799916
FILLER_91_125,VPWR,li1,65.7800,258.4000,1.799922
FILLER_91_113,VPWR,li1,60.2600,258.4000,1.799930
FILLER_91_111,VPWR,li1,56.8100,258.4000,1.799937
FILLER_91_105,VPWR,li1,55.2000,258.4000,1.799937
FILLER_91_93,VPWR,li1,51.0600,258.4000,1.799943
FILLER_91_81,VPWR,li1,45.5400,258.4000,1.799953
FILLER_91_69,VPWR,li1,40.0200,258.4000,1.799959
FILLER_91_57,VPWR,li1,34.5000,258.4000,1.799966
FILLER_91_55,VPWR,li1,31.0500,258.4000,1.799973
FILLER_91_51,VPWR,li1,29.9000,258.4000,1.799973
FILLER_91_39,VPWR,li1,26.2200,258.4000,1.799978
FILLER_91_27,VPWR,li1,20.7000,258.4000,1.799986
FILLER_91_15,VPWR,li1,15.1800,258.4000,1.799986
FILLER_91_3,VPWR,li1,9.6600,258.4000,1.799986
FILLER_90_553,VPWR,li1,260.1300,258.4000,1.799933
FILLER_90_545,VPWR,li1,258.0600,258.4000,1.799933
