Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_92_245,VGND,li1,119.6000,261.1200,0.000114
FILLER_92_233,VGND,li1,115.4600,261.1200,0.000112
FILLER_92_221,VGND,li1,109.9400,261.1200,0.000105
FILLER_92_209,VGND,li1,104.4200,261.1200,0.000100
FILLER_92_197,VGND,li1,98.9000,261.1200,0.000094
FILLER_92_195,VGND,li1,95.4500,261.1200,0.000088
FILLER_92_189,VGND,li1,93.8400,261.1200,0.000088
FILLER_92_177,VGND,li1,89.7000,261.1200,0.000084
FILLER_92_165,VGND,li1,84.1800,261.1200,0.000076
FILLER_92_153,VGND,li1,78.6600,261.1200,0.000071
FILLER_92_141,VGND,li1,73.1400,261.1200,0.000065
FILLER_92_139,VGND,li1,69.6900,261.1200,0.000060
FILLER_92_133,VGND,li1,68.0800,261.1200,0.000060
FILLER_92_121,VGND,li1,63.9400,261.1200,0.000055
FILLER_92_109,VGND,li1,58.4200,261.1200,0.000047
FILLER_92_97,VGND,li1,52.9000,261.1200,0.000042
FILLER_92_85,VGND,li1,47.3800,261.1200,0.000036
FILLER_92_83,VGND,li1,43.9300,261.1200,0.000031
FILLER_92_77,VGND,li1,42.3200,261.1200,0.000031
FILLER_92_65,VGND,li1,38.1800,261.1200,0.000026
FILLER_92_53,VGND,li1,32.6600,261.1200,0.000020
FILLER_92_41,VGND,li1,27.1400,261.1200,0.000013
FILLER_92_29,VGND,li1,21.6200,261.1200,0.000011
FILLER_92_27,VGND,li1,18.1700,261.1200,0.000011
FILLER_92_15,VGND,li1,15.1800,261.1200,0.000011
FILLER_92_3,VGND,li1,9.6600,261.1200,0.000011
FILLER_91_553,VGND,li1,260.1300,261.1200,0.000063
FILLER_91_541,VGND,li1,257.1400,261.1200,0.000063
FILLER_91_529,VGND,li1,251.6200,261.1200,0.000063
FILLER_91_517,VGND,li1,246.1000,261.1200,0.000063
FILLER_91_505,VGND,li1,240.5800,261.1200,0.000063
